id,question,options,answer
86ae7b26-4c6a-40ee-91c1-2516f1c1e006-47504,কানে বেদনা তৈরী করে এমন শব্দের মাত্রা কোনটি?,['90 dB' '120 dB' '110 dB' '100 dB'],B
177a1ea3-25b8-4466-a85c-26c61abc095a-81385,p-n জাংশন সম্মুখ বেঁকে থাকলে এর রোধ কেমন হবে?,['শূন্য' 'নিম্ন' 'উচ্চ' 'অসীম'],B
d1fecd0c-12d3-4128-b954-65237a61f946-127253,বলের ঘাতের মাত্রা নিচের কোনটি?,['MLT−1' 'MLT−2' 'ML2T−3' 'ML2T2'],A
2053bd79-e4e1-423e-a65f-413d59eab0b9-82090,গতিশীল অবস্থায় থাকা ঘড়ি নিশ্চল ঘড়ির চেয়ে-,['সময় কমে যায়' 'বন্ধ হয়ে যায়' 'দ্রুত চলে' 'ধীরে চলে'],D
9b3317b0-b96a-4d14-8e45-39a96fd7ad18-135444,"যদি একটি সরল দোলকের বিস্তার দ্বিগুণ করা হয়, তাহলে সরল দোলকটির পর্যায়কাল-",['দ্বিগুণ হবে' 'অর্ধেক হবে' 'চারগুণ হবে' 'অপরিবর্তিত হবে'],D
e17ac489-18d9-4179-97e0-af93e755f1c0-142318,নিচের কোনটি চুম্বক দ্বারা সামান্য বিকর্ষিত হয়? ,['নিকেল' 'বিসমাথ' 'পিতল' 'কোবাল্ট'],B
aaaa4828-4ccd-4394-8142-d9130e37ebba-141606,তাপগতিবিদ্যার ২য় সূত্রের মূল বক্তব্য হল-,['তাপমাত্রা' 'অভ্যন্তরীণ কাজ' 'এনট্রপি' 'অভ্যন্তরীণ শক্তি'],C
a942bc1e-f2bc-4982-b707-62cde01a404a-86904,2mm2 প্রস্থচ্ছেদের একটি তারের সাথে 15kg ভর ঝুলে আছে। ভর ঝুলানো অবস্থায় তারটির দৈর্ঘ্য 4m। তারের উপাদানের ইয়াং এর গুণাঙ্ক 1.3x1010 Nm-1। ভর সরিয়ে নিলে তারটির দৈর্ঘ্য কি পরিমাণ সংকুচিত হবে?,['0.0022m' '0.0225m' '0.225m' '2.25m'],B
55522700-21fc-4860-96bf-6935c9ace533-66069,"কোন নক্ষত্রের ভর ২ থেকে ৩ সৌর ভরের মধ্যে হলে, নক্ষত্রটির শেষ পরিণতি কি হবে?",['শ্বেত বামন' 'কালো বামন' 'নিউট্রন তারকা' 'কৃষ্ণ গহ্বর'],C
980ed162-50ce-424f-b0ee-9843260bca51-54122,পরম শূন্য তাপমাত্রার মান কত?,['0 K' '−273 K' '−373 °C' '0 °C'],A
466dba49-e1ee-49b9-b4af-db206c7a98ef-47641,একটি তরঙ্গের সমীকরণ y=15sin(10x-20t) দিয়ে নির্দেশিত হলে তরঙ্গের বেগ কত একক?,['0.75' '0.5' '2' 'কোনোটিই নয়'],C
84886735-694d-43b4-98fc-ff7519031178-133768,A ও B গ্রহদ্বয়ের ভর যথাক্রমে M ও 2M এবং ব্যাসার্ধ যথাক্রমে R ও 2R হলে তাদের অভিকর্ষজ ত্বরণের অনুপাত gA:gaকত?,['1:1' '1:2' '2:1' '4:1'],C
87e338b0-3423-4a43-85a9-cbcd1aa9a7f3-126447,120° C তাপমাত্রায় পানি কত চাপে বাষ্পে পরিনত হয়?,['0.7535 AtmP' '1.7354 AtmP' '0.7354 AtmP' '1.07354 AtmP'],A
2576f97b-f328-4f70-87c9-aec06e5b716c-22534,উৎক্ষেপণ বেগ কত হলে কোনো বস্তু চাঁদের মতো উপগ্রহে পরিণত হবে?,['>7.88 km/s' '7.88km/s' '<7.88 km/s' '7.88-11.2 km/s'],B
e7620807-83bb-429c-813d-0d69e101ff7c-133146,কোনটি যোগাযোগ ব্যবস্থায় বহুলভাবে ব্যবহৃত হয়?,"['X-ray satellite' 'SYNCOM satellite' 'Rontgent satellite'
 'Polar satellite']",B
be6a6b39-2da5-44ef-8f87-04e1161acc0f-35419,ঘনকোণ এর এস আই (SI) একক কোনটি?,['রেডিয়ান' 'স্টেরিডিয়ান' '(রেডিয়ান )3' 'ডিগ্রী'],B
a18d2342-2484-4aab-a622-78013688652a-119491,নিচের কোন সম্পর্কটি স্টোকসের সূত্র?,['F∝rπv' 'F∝ηrv' 'F∝ηλrv' 'F∝πηv'],B
3adf71d7-645f-4466-bc69-4b68db49edca-1597,মহাকর্ষ বলের বাহক কোনটি ?,['বোসন' 'গ্ৰাভিটন' 'মেসন' 'কোয়ান্টন'],B
086411ba-35c2-4290-85d0-5bd8ce3861a1-96487,"পানির সাপেক্ষে গ্লিসারিনের প্রতিসরাংক 1.1, গ্লিসারিনের সাপেক্ষে হীরকের প্রতিসরাংক 1.65। পানির সাপেক্ষে হীরকের প্রতিসরাংক কত?",['1.13' '2.75' '1.55' '1.82'],D
3e000e0f-7aa7-4eec-a85a-97544ecb68d4-106102,মহাবিশ্বের সৃষ্টি কত বিলিয়ন বছর পূর্বে?,['14.7' '13.7' '16.7' '18.7'],B
7d9165fe-43a9-4b97-ba5b-2bcb30177cd6-58275,একটি জলপ্রপাতে 70m উপর হতে পানি নিচে পতিত হয়। যদি পতনশীল পানির 65 % শক্তি তাপে রূপান্তরিত হয় তবে উপরের ও নিচের তাপমাএার পার্থক্য নির্ণয় কর,['1.106oC' '2.6oC' '0.67oC' '0.106oC'],D
90ecf8a0-9549-40e6-a38d-5946f6641ec8-28740,একটি গাড়ি চলতে থাকলে এর টায়ারের ভেতর একটি তাপগতীয় প্রক্রিয়া চলে। এই প্রক্রিয়াটি হলো-,"['সমোষ্ণ প্রক্রিয়া' 'রুদ্ধতাপীয় প্রক্রিয়া' 'সমআয়তন প্রক্রিয়া '
 'সমচাপ প্রক্রিয়া']",C
861ab96d-4c5b-4188-8704-52f5a6a1d92a-117046,কোন একটি তার কুন্ডলীর বিদ্যুৎ প্রবাহমাত্রা 2A কুন্ডলীর প্রবাহমাত্রা 0.08s এ শূন্যে নামিয়ে আনলে কুন্ডলীতে 0.5V বিদ্যুৎচালক বল আবিষ্ট হয়। কুন্ডলীর স্বকীয় আবেশ গুণাঙ্ক কত?,['0.02 henry' '0.2 henry' '2 henry' '20 henry'],A
86aac76f-86fa-4faf-a430-19676c5be33e-133449,জেনার ডায়োড যখন বর্তনীতে ব্যবহার করা হয় তখন সবসময় এর সংযোগ দেওয়া হয় -,['সম্মুখ ঝোকে' 'সমান্তরালে' 'শ্রেণীতে' 'বিপরীত ঝোঁকে'],D
270312ea-271e-4082-bdf0-4bca9d0f172c-30996,একটি বস্তু কণার উপর স্থির বল ক্রিয়া করায় কণাটির সরণ ও সময় `t= sqrtx +5` সমীকরণ সম্পর্কিত হলে কত সেকেন্ডে কণাটির বেগ শূন্য হবে?,['5s' '2s' '3s' '4s'],A
70d910ab-e911-4b99-a777-372c4a380068-9567,ইলেকট্রন-ভোল্ট কিসের একক-,['কাজ' 'আধান' 'বিদ্যুৎ' 'বিভব পার্থক্য'],A
92ffc2f2-738c-44ac-85a7-df165df1410c-98927,"5A তড়িৎ প্রবাহ 1m দীর্ঘ তারে প্রবাহিত হচ্ছে যা 0.1Wbm-2 চৌম্বকক্ষেত্রের সাথে 30° কোণে আছে। তাহলে, অনুভূত বল কত?",['2.5 N' '25 N' '0.025 N' '0.25 N'],D
b2960a8f-7b34-40b9-aa8c-a394b935f9cd-8902,নিউটনের গতির তৃতীয় সূত্র অনুসারে ক্রিয়া ও প্রতিক্রিয়ার মধ্যকার কোন কত?,['00C' '900 C' '1800C' '3600C'],C
b14783a6-ee3e-455e-ad1b-02780690de4a-55187,নিচের কোন গেটটি একাধিকবার ব্যবহার করে যে কোন ডিজিটাল বর্তনী তৈরি করা যায়? (Which one of the following gates can be used repeatedly to make any digital circuit?),['AND' 'OR' 'XOR' 'NAND'],D
233d81c6-79e2-47bd-b024-7f78f9ecadf1-40547,পৃথিবীর গড় ঘনত্ব কত?,['3.3×103kgm-3' '5.5×103kgm-3' '7.7×103kgm-3' '1.3×103kgm-3'],B
5436547c-9fb7-43d6-8253-db33d30ecacf-58164,অর্ধপরিবাহী ডায়োডকে সম্মুখমুখী বায়াসে সংযুক্ত করলে নিঃশেষিত স্তরের বেধ -,['বৃদ্ধি পায়' 'বিলুপ্ত হয়' 'অপরিবর্তিত থাকে' 'হ্রাস পায়'],D
d92f4521-61d5-4270-82a7-62a933fef7d0-126483,একটি আলফা কণার পুরো ভরকে শক্তিতে রূপান্তরিত করা হলে কী পরিমাণ শক্তি উৎপন্ন হবে?,['3.7 GeV' '3.7 MeV' '3.7 eV' '7.8 eV'],A
c60d52cc-dddb-45f2-837f-af0e96e4a50d-51720,16 ভর সংখ্যার নিউক্লিয়াসের বাসার্ধ 3 x 10-12m হলে 128 ভর সংখ্যার নিউক্লিয়াসের বাসার্ধ হবে-,['6 x 10-12m' '12x 10-12m' '18x 10-12m' '24 x 10-12m'],A
b6b4c552-5c1c-488a-8100-67079e3792c3-32432,বল ও সরণের মধ্যবর্তী কোণ কত হলে কাজ শূণ্য হবে?,['60°' '90°' '180°' '0°'],B
d7ba070c-b13c-4082-927b-d82b22a32870-92069,বাহ্যিক তড়িৎ ক্ষেত্রের প্রভাবে যে সকল মাধ্যমের প্রতিটি পরমাণু এক একটি তড়িৎ দ্বিমেরুতে পরিণত হয় তাকে বলা হয়-,['ডাইইলেকট্রিক' 'সেমিকন্ডাক্টর' 'পরিবাহী' 'অপরিবাহী'],A
1acdc094-1f55-42c9-a3be-c1a232cc22ff-49223,2 kg ভরের একটি বস্তুকে 3 m দীর্ঘ একটি সুতার এক প্রান্তে বেঁধে 4 rads-1 কৌণিক বেগে ঘোরানো হচ্ছে। সুতার ওপর টান হবে—,['50 N' '48 N' '100 N' '96 N'],D
24078738-7b9b-4e35-9226-32fc92375cf0-128441,"মিটারে প্রকাশিত একটি বস্তুর অবস্থান x(t)=16t-3t3, যেখানে সময় t সেকেন্ডে প্রকাশিত হয়েছে। বস্তুটি ক্ষণিকের জন্য স্থির অবস্থায় থাকে যখন t এর মান-",['A. 75s' 'B. 1.30s' 'C. 5.30s' 'D. 7.30s'],B
bfabf52d-38e7-45a1-8ac8-9d87ad632ab1-77505,"শব্দের একটি উৎস যখন শ্রোতার দিকে এগিয়ে আসে,তখন-","['শব্দ তরঙ্গের দৈর্ঘ্য আপাত বৃদ্ধি পায়' 'কম্পন সংখ্যা আপাত বৃদ্ধি পায়'
 'কম্পন সংখ্যা আপাত হ্রাস পায়' 'শব্দের গতি পরিবর্তন হয়']",B
f00f7347-f6b1-4280-af51-8b79dae43777-132979,সূর্য হতে পৃথিবীর বায়ুমন্ডলের উপরিভাগ পর্যন্ত তাপ স্থানান্তরের ক্ষেত্রে কোন প্রক্রিয়াটি সঠিক?,['বিকিরণ ও পরিবহন' 'পরিবহন ও আবেশ' 'পরিচলন' 'বিকিরণ'],A
2f765e9f-7e89-4b99-9da5-db246bd7f417-116402,একটি স্ফেরোমিটারের গোলাকার স্কেল 50 টি দাগে সমানভাবে চিহ্নিত এক গোলাকার খেল পূর্ণ একবার আবর্তনে রৈখিক ভেল 0.1 cm পিছিয়ে যায়। লঘিষ্ঠ ধ্রুবক কত?,['0.02 cm' '0.002 cm' '0.2 cm' '0.0002 cm'],B
e04fee93-976f-4c54-b5b5-dc54372b72c7-120380,টর্কের একক কোনটি?,['N−1mN-1m' 'Nm−2Nm-2' 'N.m-1N.m−1' 'Nm'],D
26d9dc3c-eed9-4acc-80aa-5f9b594eabc5-41742,একটি বস্তু স্থির অবস্থা হতে 4 ms−2 সমত্বরণে যাত্রা শুরু করলো। 6s পর বস্তুটির বেগ কত হবে?,['30 ms−1' '24 ms−1' '14 ms−1' '12 ms−1'],B
8919d71f-0a93-48af-875a-09eb4a34bf96-108029,আদর্শ গ্যাসের ক্ষেত্রে চাপ স্থির অবস্থাতে আয়তন ও তাপমাত্রার মধ্যে সম্পর্ক সূচক সূত্র কোনটি হতে পারে?,['বয়েলের' 'চার্লস এর' 'ডালটনের' 'কোনটিই নয়'],B
c89e3b61-4895-426d-943a-5847f9c332ed-48630,2J গতিশক্তির একটি বস্তুর গতির বিপরীতে 2N বল প্রয়োগ করলে বস্তুটি কত দূরে অগ্রসর হয়ে থেমে যাবে?,['1 m' '0.5 m' '2 m' '1.5 m'],A
e958336f-8962-4daf-a73e-d94a20e28413-60390,ΔIB=0.05 mA এবং ΔIC=2 mA হলে প্রবাহ লাভ এর মান কত? ,['004 ' '0.2' '50' '40'],D
114759a0-c69f-4a62-8bce-09ef1602b50a-116485,একটি আদর্শ গ্যাসের নমুনার তাপমাত্রা 20°C। নমুনাটির চাপ ও আয়তন দ্বিগুণ করা হলে এর পরিবর্তিত তাপমাত্রা কত হবে?,['700°C' '40°C' '880°C' '900°C'],D
d29e4718-dc84-4346-8b4c-bcf884812c85-55067,পানির ক্ষেত্রে সমবর্তন কোণের মান কত?,['56°' '65°' '53°' '45°'],C
24eac146-cccd-4572-a288-68c705e18796-40440,পানি ও হীরকের প্রতিসরাঙ্ক যথাক্রমে 1.33 এবং 2.4 । হীরকে আলোর বেগ হবে-,['1.26×108 ms-1' '2.26×108 ms-1' '3.26×108 ms-1' '4.26×108 ms-1'],A
89998f34-d0fd-46d8-ab02-2d5ff1a457ab-96542,একটি ট্রানজিস্টরের সবচেয়ে কম ডোপায়িত অঞ্চল -,['এমিটার' 'বেস' 'কালেক্টর' 'এমিটার ও কালেক্টর'],B
58dc9a74-4464-4964-bd71-eec56b7f0cbc-145210,"একটি প্রাসের সাপেক্ষে অন্য একটি প্রাসের গতিপথ কেমন 
 হবে?",['মূলবিন্দুগামী' 'প্যারাবোলা' 'সরলরেখা' 'বক্ররেখা'],C
19b1db88-50bf-4623-820b-7bab7c36343a-40128,বায়ুতে উত্তল লেন্সের পাওয়ার P। পানিতে ডুবালে এর পাওয়ার হবে -,['P এর বড়' 'P এর ছোট' 'P' 'কোনোটিই নয়'],B
47e697ec-2d66-49b8-a50c-c9e7bd91f1c0-107112,উপর হতে লম্বভাবে পানির 3 m নিচে রাখা কোন বস্তুর পর্যবেক্ষকের দিকে আপাত সরণ কত হবে?,['0.62 m' '0.74 m' '0.83 m' '0.92 m'],B
826b3303-792a-4219-8a79-23fb6133ea1f-16315,একটি ট্রেন ঘন্টায় 36 km বেগে যাচ্ছে। 500m এর মাঝে একে থামাতে হলে কত মন্দন প্রয়োগ করতে হবে?,['0.1 m/s2' '1 m/s2' '3.16 m/s2' '-0.1 ms-2'],A
595275fc-1f9d-4079-ab47-d731add8e067-84148,কোন তড়িৎবাহী চ্যাপ্টা পরিবাহীকে লম্বা ভাবে চৌম্বক ক্ষেত্র স্থাপন করে এর মধ্য দিয়ে তড়িৎ প্রবাহ চালনা করা হলে তড়িৎ প্রবাহ ও চৌম্বক ক্ষেত্র উভয়ের সাথে লম্ব দুই বিপরীত তলে বিপরীত পার্থক্য সৃষ্টি হওয়ার ঘটনাকে কি বলে?,"['থমসন ক্রিয়া' 'সিবেক ক্রিয়া' 'তড়িৎ প্রবাহের চৌম্বক ক্রিয়া'
 'হলক্রিয়া']",D
4c077d4c-62ed-4881-bcf1-3d64208b9db3-1076,কোনটি সরল দোলকের ব্যবহারিক ক্ষেত্র নয়?,['সময় নির্ণয়' 'g এর মান নির্ণয়' 'পাহাড়ের উচ্চতা' 'সমুদ্রের গভীরতা'],D
d5ebf3ed-912c-40d0-809c-c519e68478f9-18664,একটি কণা a বিস্তার ও মেট শক্তি E নিয়ে সরল ছন্দিত গতি সম্পাদন শুরু করে। একটি অবস্থানে এর গতি শক্তি 3E/4 হলে এর সরন কত?,['y=a/2' 'y=a/√2' 'y=a√3 /2' 'y=a'],A
bb208af3-cbc2-4acf-88a2-2ead79b83361-63469,একজন মানুষের গড় হ্রদযন্ত্রের বিট মিনিটে 75 বার। এর কম্পাঙ্ক ও পর্যায়কাল হবে-,"['1.25 Hz , 0.8 s' '12.5 Hz , 0.08 s' '0.125 Hz , 0.13 s' '2.5 Hz , 1.6 s']",A
20526879-c6f9-424e-9963-34c463e02bd3-48460,তড়িৎ ফ্লাক্সের সঠিক একক হলো?,['Wt' 'Vm' 'Tm' 'NmA-1'],B
cfe4f4dd-b23a-42c0-bcbe-10b4bebc7e62-143409,কোনটি কেপলারের সূত্র নয়?,"['প্রতিটি গ্রহের পর্যায়কালের বা আবর্তন কালের বর্গ সূর্য হতে গ্রহের গড় দূরত্বের ঘনফলের সমানুপাতিক'
 'প্রতিটি গ্রহ সূর্যকে উপবৃত্তের নাভিতে বা ফোকাসে রেখে উপবৃত্ত পথে প্রদক্ষিন করছে'
 'সূর্য ও গ্রহের সংগে সংযুক্ত রেখা সমান সময়ে সমান ক্ষেত্রফল অতিক্রম করে'
 'প্রতিটি গ্রহের পর্যায়কালের বর্গ সূর্য হতে দূরত্বের বর্গের সমানুপাতিক']",D
e7b49ad1-9338-4bec-993e-356ade0bce15-468,মঙ্গল গ্রহের ব্যাস 6000 km। এর পৃষ্ঠে g এর মান 3.8 ms-2 হলে মঙ্গল গ্রহ থেকে কোন বস্তুর মুক্তি বেগ কত?,['9.7 kms-1' '4.77 kms-1' '3.77 kms-1' '11.2 kms-1'],B
803e24fd-0586-4a30-93c6-796723798400-139201,কোনটি আলোর ব্যতিচারের শর্ত নয়?,"['আলোর উৎস দুটি সুসঙ্গত হতে হবে'
 'যে দুটি তরঙ্গ ব্যতিচার সৃষ্টি করে তাদের তরঙ্গদৈর্ঘ্য অবশ্যই পৃথক হতে হবে'
 'উৎসগুলি খুব সূক্ষ্ম হতে হবে' 'উৎসগুলি খুব কাছাকাছি অবস্থিত হতে হবে']",B
d8b0bf98-4a62-490d-b7b6-b8237df8245c-25746,আয়তন দ্বিগুণ ও পরম তাপমাত্রা অর্ধেক হলে আদর্শ গ্যাস সমীকরণ অনুসারে গ্যাসের চাপের কীরূপ পরিবর্তন হবে?,['এক-চতুর্থাংশ' 'অর্ধেক' 'দ্বিগুণ' 'অপরিবর্তনশীল'],A
a8d3d1b5-fe71-4c3f-aba8-bf94bcdb29cb-26853,A ও B দুটো সরিষা এলাকা একত্রে বাজালে প্রতি সেকেন্ডে পাঁচটি বিট শোনা যায়। A এর ভর কমালে বিট কমে। A এর কম্পাঙ্ক কত? fB = 440 Hz,['440 Hz' '435 Hz' '445 Hz' '450 Hz'],B
fb61b9c6-8ca1-4636-850b-d7821057ac36-133700,প্রিজমের ক্ষেত্রে ন্যূনতম বিচ্যুতির শর্ত কোনটি?,"['i1>=i2, r1=r2' 'i1<ic, r1>r2' 'i1=i2, r1=r2' 'i1<i2, r1=r2']",C
c99dc574-0aa2-42cb-88c6-7e3de4c4cd4d-114175,একটি বৃত্তের পরিমাপ্য ব্যাসার্ধ ( 5 ± 0.2%) cm হলে ক্ষেত্রফল পরিমাপে শতকরা ত্রুটি কত? ,['8%' '0.5%' '0.4%' '0.2%'],A
4efd2e86-25e8-4d03-831a-5b4f6713b2bb-140125,একটি তরঙ্গের দুটি বিন্দুর মধ্যে দশা পার্থক্য 4π হলে পথ পার্থক্য হবে-,['λ/2' 'λ/4' '2λ' '4λ'],C
ea094179-ad08-4cfa-bd15-c0dc8da57350-129748,বাংলাদেশের জাতীয় সংসদের অধিবেশন কে অবসান করেন?,['ডেপুটি স্পিকার' 'স্পিকার' 'রাষ্ট্রপতি' 'প্রধানমন্ত্রী'],C
ff5e6fe8-c17e-4238-9cb1-7780c54fd0ab-127649,m ভর ও l দৈর্ঘ্যের কোনো দন্ডের ভরকেন্দ্রগামী লম্ব অক্ষ থেকে `l/4` দূরত্বে সমান্তরাল অক্ষের সাপেক্ষে জড়তার ভ্রামক কত? ,['7/48 ml2' '1/3ml2 ' '19/48ml2 ' '19/49ml2 '],A
f9399eb2-2089-43a4-9fa0-ce0edd2da1d2-89142,সরলতম সংখ্যা পদ্ধতি নিচের কোনটি?,['অক্টাল পদ্ধতি' 'হেক্সাডেসিমেল পদ্ধতি' 'ডেসিমেল পদ্ধতি' 'বাইনারি পদ্ধতি'],D
146125e5-4d5f-4cea-9157-ce5228cc4c8c-63772,"14°Cএ একটি মাধ্যমের চাপ ও তাপমাত্রা উভয়ই 4 গুণ বাড়ানো হলে , শব্দের বেগ বাড়বে -",['200%' '114% ' '14.6% ' '7% '],D
9bcbf7dc-546c-49eb-a5da-148eccc14676-38530,একটি তেজস্ক্রিয় পদার্থের নির্দিষ্ট আইসোটোপের অর্ধায়ু 6.5h। প্রারম্ভে পরমাণুর সংখ্যা ছিল 4.8 x 1020। 26 ঘন্টা পরে তেজস্ক্রিয় পরমাণু সংখ্যা কত হবে ?,['6.0 x 1019 টি' '1.2 x 1020টি' '2.4 x 1020 টি' '3 x 1019 টি'],D
8d85366a-5da7-4ae3-851f-a5fd562747e7-144822,14 মিনিট পরে একটি তেজস্ক্রিয় মৌলের অংশ 1/16 অবশিষ্ট থাকে। এর অর্ধায়ু কত হবে?,['7/8 min' '7/4 min' '7/2 min' '14/3 min'],C
43d66b77-a28e-4bc5-b1f4-1d1e6a086e77-59675,গ্যালভানোমিটারের তড়িৎ বর্তনীতে শান্ট ব্যবহার করা হয় কী উদ্দেশ্যে?,"['গ্যালভানোমিটারের বিদ্যুৎ প্রবাহ বাড়ানোর জন্য'
 'গ্যালভানোমিটারের বিদ্যুৎ প্রবাহ কমানোর জন্য'
 'গ্যালভানোমিটারের বিভব পার্থক্য বাড়ানোর জন্য'
 'গ্যালভানোমিটারের বিভব পার্থক্য কমানোর জন্য']",B
5db3d8f9-46b5-413b-b0c6-6eee9e0818d1-65202,এক ব্যক্তি সূর্যোদয়ের দিকে 12m যাবার পর ঠিক উত্তর দিকে ঘুরলো এবং 5m গেল। তার সরণ কত মিটার?,['17' '16.67' '17.67' '13'],D
8ec1db48-a208-46bf-8484-0a5ded048bc3-125346,কোনো দিক পরিবর্তী তড়িচ্চালক শক্তির সমীকরণ E = 220 sin 314 t তড়িচ্চালক শক্তির গড় বর্গের বর্গমূল মান কত?,['140.14 V' '155.54 V' '311.17 V' '345.36 V'],B
55c95069-2ea3-4377-8008-4d6a5fe4a99a-101286,কাজের পরিমাণ সবচেয়ে বেশি হয় যখন প্রযুক্তবল ও সরণের মধ্যে কোণের মান হয় -,['0°' '90°' '45°' '180°'],A
8f7c3459-0cdd-45da-a1c6-120e19554315-135004,0°C তাপমাত্রায় 1kg বরফকে শুধুমাত্র গলাতে কত তাপের প্রয়ােজন?,['3.0×102 kj' '3.36×102 kj' '4.0×102 kj' '4.36×102 kj'],B
c7ce04e1-4346-44f1-a3d0-4cb5e67e26f1-98056,একটি ভারী বস্তুর ভর অপর একটি হালকা বস্তুর ভরের দ্বিগুণ।বস্তু দুটির ভরবেগ সমান। বস্তু দুটির গতিশক্তির অনুপাত-,['2:1' '1:2' '1:4' '4:1'],B
7fbde87a-2d36-4f70-a2e6-2d1a62441180-51626,কোন বিজ্ঞানী কোয়ান্টাম তত্ত্বের ধারণাকে সম্প্রসারিত করেন?,['Michel Faraday' 'Albert Einstein' 'Max Planck' 'Newton'],C
d398bf87-bd87-449f-b5dc-4da0f09b6741-53385,গোলকের ভেতরে প্রাবল্য-,['সর্বনিম্ন' 'পৃষ্ঠের সমান' 'শূন্য' 'সর্বোচ্চ'],C
49e50007-41ae-4c02-bf38-b8effab8236e-111705,`3hati-4hatj+12hatk`ভেক্টরটির মান কত?,['8' '11' '13' '18'],C
f886ff96-e09f-441e-ba83-d5dc53d6e225-18576,নিচের কোন ভৌত প্রক্রিয়া শব্দ তরঙ্গ দ্বারা প্রদর্শিত হয় না?,['প্রতিসরণ' 'ব্যাতিচার' 'সমবর্তন' 'অপবর্তন'],C
025b0ff1-bf03-4690-84dc-92a515971189-73769,একজন লোকের ভর 99 Kg।কত বেগের উড়ন্ত রকেটে থাকাকালীন মাটিতে অবস্থিত একজন পর্যবেক্ষকের নিকট তার ভর 100 Kg হবে?,['4.23×107m/sec' '1.41×107 m/sec' '9×107m/sec' 'None of these'],A
b0306e4b-f2ba-4339-8a16-a022c3927b6d-42756,কক্ষ তাপমাত্রায় কোন ধরনের পদার্থের পরিবহন ব্যান্ড সম্পূর্ণ ফাঁকা থাকে না?,['অর্ধ পরিবাহক পদার্থ' 'পরিবাহক পদার্থ' 'অপরিবাহক পদার্থ' 'কোনোটিই নয়'],A
